I'm Good Thanks,Dumbbell,1,1,1,0,0,DB Push Press,DB Forward Lunges,DB Front Squat,DB Renegade Row, ,
I'm Regretting This,Resistance Band,0,0,0,0,0,Banded Squats,Crab Walks,Frog Pumps,Glute Bridges, ,
Confusing,Swiss ball,0,0,0,0,0,Hamstring Curls,Crunches,Pushups,Hold Reverse Crunches, ,
Everything Hurts,Barbell,1,1,0,1,0,Snatch Grip RDL,Wide Grip Row,Overhead Press,Upright Row, ,
Simple,Bodyweight,0,0,0,0,0,Box Squats,Incline Pushups,Crunches,Glute Bridges, ,
Super Simple,Resistance Band,0,0,0,0,0,Crab Walks,Hamstring Curls,Glute Bridges,Pull apart, ,
Simple Part 2,Dumbbell,1,0,0,0,0,Overhead Press,Bicep Curls,Rows,Squat Hold w. Steering Wheel, ,
Soo Simple,Bodyweight,0,0,0,0,0,Bridge,Metronome,Toe Taps,Modified Plank Holds, ,
Simply Simple,Bodyweight,0,0,0,0,0,Superman,Bird Dog,Reverse Crunches,Standing Oblique Crunches, ,
,,0,0,0,0,0,,,,,,
,,0,0,0,0,0,,,,,,
,,0,0,0,0,0,,,,,,
,,0,0,0,0,0,,,,,,
,,0,0,0,0,0,,,,,,
,,0,0,0,0,0,,,,,,
